Date,Outbound Post,Total Engagements (SUM),Post Likes And Reactions (SUM),Post Comments (SUM),Post Shares (SUM),Post Reach (SUM),Estimated Clicks (SUM)
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",2,2,0,0,116,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",11,10,0,1,257,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",3,2,0,1,86,0
2025-01-01,"🎉✨ Happy New Year from the MCAS Beaufort Airshow Team! ✨🎉

2025 is here, and we’re ready to soar! 🛩️🔥 Join us as we celebrate 250 years of the Marine Corps with jaw-dropping stunts, epic flyovers, and a tribute to our military and Lowcountry community.

This is history in the making—and you’re invited! 🚀Get your tickets today at beaufortairshow.com!",33,23,6,4,692,0
2025-01-01,"🎉✨ Happy New Year from the MCAS Beaufort Airshow Team! ✨🎉

2025 is here, and we’re ready to soar! 🛩️🔥 Join us as we celebrate 250 years of the Marine Corps with jaw-dropping stunts, epic flyovers, and a tribute to our military and Lowcountry community.

This is history in the making—and you’re invited! 🚀Get your tickets today at beaufortairshow.com! ",11,11,0,0,109,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",18,16,0,2,1078,0
2025-01-01,"🎆 Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",29,27,1,1,252,0
2025-01-01,"Learn how to get around your new home, explore downtown, and fall in love with Iwakuni on this bus tour.
Register now for the January 8 tour!
https://iwakuni.usmc-mccs.org/welcome-aboard-bus-tour
#culturaladaptationiwakuni",0,0,0,0,186,0
2025-01-01,"New year, new you! Let’s kickstart 2025 with our group fitness classes. From yoga to Mixxedfit, we’ve got something to help you crush those resolutions. 🏋️‍♀️✨ No better time to start than now!

Some group fitness classes are now available at IronWorks Atago and IronWorks South gyms. Make sure to stop by these locations to kick off your fitness journey.
https://iwakuni.usmc-mccs.org/fitness/group-fitness
#semperfitiwakuni",6,3,0,3,1345,0
2025-01-01,"🚨 2025 17.75K registrations are NOW OPEN! 🚨 
Ready to run with us LIVE and secure your spot in the 50th Marine Corps Marathon? Don’t wait—sign up today on marinemarathon.com and be part of the journey! 🏃‍♀️💨 #MarineCorps1775K #RunWithTheMarines #RegisterNow",279,223,24,32,21814,0
2025-01-01,"🚨 2025 17.75K registrations are NOW OPEN! 🚨 
Ready to run with us LIVE and secure your spot in the 50th Marine Corps Marathon? Don’t wait—sign up today and be part of the journey! 🏃‍♀️💨 #MarineCorps1775K #RunWithTheMarines #RegisterNow",31,24,1,6,76255,0
2025-01-01,"🚨 2025 17.75K registrations are NOW OPEN! 🚨 
Ready to run with us LIVE and secure your spot in the 50th Marine Corps Marathon? Don’t wait—sign up today and be part of the journey! 🏃‍♀️💨 #MarineCorps1775K #RunWithTheMarines #RegisterNow",410,357,8,45,10963,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",3,3,0,0,92,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",1,1,0,0,29,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",1,1,0,0,45,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",4,4,0,0,319,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",4,4,0,0,186,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead!",6,5,0,1,870,0
2025-01-01,"🎉✨ Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice – here’s to a bright year ahead! 🎉✨",4,4,0,0,504,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice - here's to a bright year ahead!",1,1,0,0,50,0
2025-01-01,"Happy New Year from Onslow Beach! We wish everyone a beautiful 2025!
Thank you to RoRo M. for sending in this beautiful sunrise video. 
#onslowbeach",96,85,9,2,1900,0
2025-01-01,"Happy New Year to our Marines and their families! As we step into 2025, we honor the strength, resilience, and dedication that you and your family bring to our nation. Thank you for your service and sacrifice - here's to a bright year ahead!",0,0,0,0,7,0
2025-01-01,"As a reminder, all CP Library branches are closed today in observance of the federal holiday and will reopen at normal hours tomorrow morning (January 2nd).

Wishing you all a safe and Happy New Year!",1,1,0,0,264,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,"Do you want to set sail across the ocean 🌊, defy gravity 🧹, or enter the arena ⚔️?

Celebrate the New Year with MOANA 2, WICKED, and GLADIATOR II today Wednesday, 01 January at Sunset Cinema.

For our movie schedule, check out our website:  https://www.navymwr.org/programs/motion-pictures/theaters?id=ca14ee35-a359-4819-a279-3f5c9e82f98a",3,1,0,2,1526,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,"🏋️‍♂️ New year, new YOU! 🎯 Whether you're crushing PRs at the gym, meal prepping like a boss, or tackling that next promotion, goals are the secret sauce to success. Tip: Start with SMART goals—Specific, Measurable, Achievable, Relevant, and Time-bound. What’s your 2025 mission? Drop it below! ⬇️
👉 For more information, please go to MCCScp.com/human-performance to learn more.",1,1,0,0,310,0
2025-01-01,"🚀 Unlock Your Creativity at Our Weekly 3D Printing Workshop! 🚀

Join us every Thursday (including tomorrow), at the Seaside Square Library for a hands-on 3D Printing Workshop! 🖨️✨

Whether you're a beginner or have some experience, this is a great opportunity to dive into the world of 3D design and printing.

Bring your creativity and ideas! We'll provide all the materials and guidance you need to bring your designs to life. Don’t miss this chance to learn something new and meet fellow enthusiasts!

See you there! 😄",4,2,0,2,687,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,"🏋️‍♂️ New year, new YOU! 🎯 Whether you're crushing PRs at the gym, meal prepping like a boss, or tackling that next promotion, goals are the secret sauce to success. Tip: Start with SMART goals—Specific, Measurable, Achievable, Relevant, and Time-bound. What’s your 2025 mission? Drop it below! ⬇️
👉 For more information, please go to MCCScp.com/human-performance to learn more.",16,16,0,0,347,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,"Thanks for spending your 2024 with us! 💙 

We had some brave souls plunge into the Pacific this morning, and we can’t think of a better way to go into 2025. 😉 Cheers to your courage, determination, and willpower! 🥂",93,83,0,10,2288,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,This message has no text.,0,0,0,0,0,0
2025-01-01,"Craving something new? 

Join us this week as we indulge in some of Tengan Castle's must-try menu items: Queso Fundido, Memphis Pulled Pork Quesadilla, Tengan Ceviche, and the irresistible Tengan Sundae! 🍨 These menu items offer a wide array of tastes that’ll suit whatever you’re in the mood for. Which one is your favorite? Comment below and let us know what we should try next. 

➡️ To see the complete menu and hours of operation, visit www.okinawa.usmc-mccs.org/tengancastle.",10,9,0,1,1242,0
2025-01-01,This message has no text.,0,0,0,0,185,0
2025-01-01,This message has no text.,0,0,0,0,185,0
2025-01-01,"Ryukyu Golden King Basketball Ticket Sales🏀

Catch the Ryukyu Golden Kings live in action! 👑 Experience the electrifying atmosphere and cheer on Okinawa's home team 🔥

⛹🏻‍♂️ We have tickets for the following matches: 

🏀 Saturday, January 4  (SOLD OUT) 
🏀 Sunday, January 5 (SOLD OUT) 
🏀 Saturday, January 25  
🏀 Sunday, January 26 
🏀 Wednesday, January 29 

Ticket prices : 
Arena S: $38
Arena A: $34
Balcony Front: $21

For more information and to check ticket availability, please call us at 098-971-3502
🌐https://www.okinawa.usmc-mccs.org/dining-entertainment/tours/local-attractions-tickets",7,3,2,2,829,0
2025-01-01,"Learn basic Japanese phrases and pronunciation to become a more connected local community member at the Survival Japanese Language workshop on Monday, January 6 from 11:30 a.m. to 12:30 p.m. on Camp Courtney. 

➡️ For more information and to register, visit https://www.okinawa.usmc-mccs.org/activity/e0ba7262-589e-44aa-a7e7-6264ea22a839.",0,0,0,0,0,0
2025-01-01,"Join us for an engaging online session led by EFMP subject matter experts! 💻✨ Gain valuable insights, explore essential resources and get your questions answered during our live Q&A. 

🗓️ January 13 | ⏰ 1–2 p.m.

📝 Topics Covered: 

Introduction to EFMP - Understand how the program supports military families. 

Respite Care - Learn about eligibility and services available. 

Accessing Community Resources - Discover helpful tools and support. 

Recreation Inclusion Opportunities - Explore programs that enhance quality of life. 

For more information, visit https://www.okinawa.usmc-mccs.org/activity/3c29334e-da73-4d17-8718-759a28c5e463.",0,0,0,0,1,0
2025-01-01,"Join Marine Corps Family Team Building (MCFTB) as they collaborate with Typhoon Motors on Camps Courtney, Hansen and Kinser to equip participants with essential automotive maintenance skills to enhance vehicle safety and reliability.  

Check out the course schedule below:  

🗓️ January 17 | Camp Kinser | Teens  
🗓️ February 18 | Camp Courtney | Service Members 
🗓️ March 19 | Camp Hansen | Spouses 

➡️ This workshop is FREE and open to SOFA-status personnel. Registration is required via Eventbrite.",0,0,0,0,1,0
2025-01-01,"The Marine and Family Programs Division is conducting a survey on Marines’ awareness of current lethal means safety programs, preferences for safety devices and locations, and considerations for LMS messaging specific to Marine Corps culture.

If you are interested and available to participate, follow the link to take the survey. https://cnaorg.gov1.qualtrics.com/jfe/form/SV_38L0FHrDBaBpuES

The survey will close on January 31, 2025. Participation should take no more than 15 minutes. No names, contact information, or any other personally identifiable information will be collected in the survey.

Thank you for your time and consideration.",10,7,1,2,1682,0
2025-01-01,"New Year, New You? Come see all the new things we are doing at the SMP! Register now at link in bio.",0,0,0,0,37,0
2025-01-01,What say you?,2,2,0,0,86,0
2025-01-01,Let's start off the New Year right! Here are your weekend tee times.,7,5,1,1,767,0
2025-01-01,"🏀 Mark Your Calendar! The 2025 MLK Pacific-Wide Basketball Tournament is here! 

Join us January 16–20 for this exciting roundball competition named in recognition of the incredible legacy of Rev. Dr. Martin Luther King Jr. The tournament is open to men’s and women’s teams throughout the Asia-Pacific region. Teams can register for $400 via Eventbrite until Monday, January 6 at 1 p.m. Visit our website for more information and to register at the following link:  
https://www.okinawa.usmc-mccs.org/activity/92a6d7bd-e506-4700-937a-68fccfd13349.",8,6,0,2,1897,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,128,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-01,This message has no text.,0,0,0,0,5,0
2025-01-02,"Join New Parent Support for a morning of fun and connection!

Bring your little ones aged birth to 5 years to discover and explore a world of toys, crafts, games, music and more. Moms and Dads, it is not all about play, this is a golden opportunity for YOU to connect with fellow parents. Let's embark on the adventure of parenting together!

All Authorized Patrons are welcome.",5,1,0,4,457,0
2025-01-02,"Join New Parent Support for a morning of fun and connection!

Bring your little ones aged birth to 5 years to discover and explore a world of toys, crafts, games, music and more. Moms and Dads, it is not all about play, this is a golden opportunity for YOU to connect with fellow parents. Let's embark on the adventure of parenting together!

All Authorized Patrons are welcome.  ",2,2,0,0,40,0
2025-01-02,Vogue & Valor will be closed until further notice.,1,1,0,0,172,0
2025-01-02,Vogue & Valor will be closed until further notice. ,1,1,0,0,48,0
2025-01-02,"📆 A new year means new adventures - add the Yuma Airshow to your list!

For our first-time visitors, here's some of what you can expect:
💸  FREE entry, with options to upgrade your seating
🚁  Static displays typically featuring aircraft, cars, and law enforcement agencies
🌽  Food trucks
🤯 Jaw-dropping stunts & high-flying maneuvers by both civilian and military aircraft

Excited yet? We are too! 👋",63,55,3,5,1875,0
2025-01-02," 📆 A new year means new adventures - add the Yuma Airshow to your list!

For our first-time visitors, here's some of what you can expect:
💸  FREE entry, with options to upgrade your seating
🚁  Static displays typically featuring aircraft, cars, and law enforcement agencies
🌽  Food trucks
🤯 Jaw-dropping stunts & high-flying maneuvers by both civilian and military aircraft

Excited yet? We are too! 👋 ",39,38,0,1,434,0
2025-01-02,"Looking for a great spot to eat while aboard the Depot? Check out these delicious options:

🥪 Subway: Grab a fresh sandwich!
🍕 MCX Food Court: Enjoy a tasty slice of pizza!
🌊 Traditions: Buffet lunch with a view!
🥪 Sand Trap Grill: Savor a delicious club sandwich!
🍗 Brig & Brew: Dive into some mouth-watering wings!

This is just a small taste of what each spot offers! Check out our menus by downloading our PI Family Day App here: https://mccs-info.com/3LyxcvQ",9,8,1,0,2090,0
2025-01-02,"🏋️ 💪 From peak physical fitness to enhanced skills and unwavering resilience, the benefits of year-round training are vast.",2,2,0,0,85,3
2025-01-02,Year-round training ensures top-tier readiness for any mission. 🏋️ 💪 ,0,0,0,0,935,7
2025-01-02,🏋️ 💪 Find out how year-round training can ensure top-tier readiness for any mission at the 🔗 in bio.,9,9,0,0,102,0
2025-01-02,"🏋️ Ready to crush those New Year's resolutions? It's not just your physical fitness that's important - training will also improve your mental stability, ability to persevere, and overall resilience. Those are benefits that stick around all year!

💪 Luckily, we have resources to help like our HITT training course, in-house nutrition coach, and DXA body scanner. Learn more about these resources & the benefits of year-round fitness below. 👇",41,33,5,3,6131,0
2025-01-02,"🏋️ 💪 From peak physical fitness to enhanced skills and unwavering resilience, the benefits of year-round training are vast.",0,0,0,0,277,8
2025-01-02,"Ages 18+, the next book for the Library Book Club is “Hesitation Kills: A Female Marine Officer’s Combat Experience in Iraq” by Jane Blair. Join the Library in-person or virtually for a discussion on the book. 

Copies are available for checkout at the Depot Library or electronically at:
🔗 https://www.dodmwrlibraries.org

📍Wed, 29 Jan; 1100-1130 PST (Virtual)
📍Wed, 29 Jan; 1630-1730 @ Depot Library, Bldg 7

To register for virtual discussion:
https://mcrdlibraryJanuarybookclub.eventbrite.com

MCCS MCRD San Diego/WRR - Library

#mcrd #mcrdsandiego #bookclub #library",2,2,0,0,1483,0
2025-01-02,"📢 Your Voice Matters: Take the Safety Needs Assessment Survey today! 📢 

The Marine Corps is conducting a survey on Marines’ awareness of: 
✅ Current lethal means safety programs 
✅ Preferences for safety devices and locations 
✅ Considerations for lethal means safety messaging specific to Marine Corps culture  

🔗: https://cnaorg.gov1.qualtrics.com/jfe/form/SV_38L0FHrDBaBpuES

The survey will close on January 31, 2025. Participation should take no more than 15 minutes and no personally identifiable information will be collected.",0,0,0,0,277,0
2025-01-02,"🏋️ 💪 From peak physical fitness to enhanced skills and unwavering resilience, the benefits of year-round training are vast.",0,0,0,0,162,6
2025-01-02,Are you ready for some Flag Football? The Commander's Cup League starts in January! Register by Jan 7 (coaches meeting the same day): http://ms.spr.ly/6182ob8MG,0,0,0,0,344,11
2025-01-02,"Looking to improve your yoga practice? 🧘♀️✨ Join our 90-minute specialty class focused on body alignment! We’ll help you find the perfect pose using modifications, props (like yoga straps and blocks), and key alignment principles – no matter your flexibility, mobility, shape, or size. The goal? Maximize the benefits of each asana while reducing the risk of injury, all while creating beautiful, functional poses. 🙌💪

Whether you’re a beginner or advanced, this class is for everyone! 💯 #YogaAlignment 
Wallace Creek Fitness Center, Sat. Jan. 11

Register online up to one hour before the class. http://ms.spr.ly/6186ocXPY

#YogaForAll #MindfulMovement #Flexibility #BodyPositivity #MCCS #CampLejeune",8,4,1,3,2099,25
2025-01-02,"Just like you scroll through your social media feeds, take a few minutes to scroll through your contacts and reach out. You never know who might need a quick text, a laugh, or a moment of connection. Let’s make checking in as routine as checking our social media! Read the full article at http://ms.spr.ly/6186ocXpG.

#MCCS #CampLejeune #MCASNewRiver",6,6,0,0,1013,8
2025-01-02,"Just like you scroll through your social media feeds, take a few minutes to scroll through your contacts and reach out. You never know who might need a quick text, a laugh, or a moment of connection. Let’s make checking in as routine as checking our social media! Read the full article at http://ms.spr.ly/6184ocXZi.

#MCCS #MCLBAlbany",2,2,0,0,75,1
2025-01-02,"The countdown begins! Only 100 short days until the MCAS Beaufort Airshow. Are you ready Lowcountry? 

Get your tickets today at beaufortairshow.com! ✈️",30,20,3,7,955,0
2025-01-02,"The countdown begins! Only 100 short days until the MCAS Beaufort Airshow. Are you ready Lowcountry? 

Get your tickets today at beaufortairshow.com! ✈️ ",5,5,0,0,20,0
2025-01-02,"Celebrate the start of the year with IT&T's Universal Studios Japan trip. Register in-person at the IT&T office today for this fun-filled trip.
https://iwakuni.usmc-mccs.org/universal-studios-japan-trip
#ittiwakuni",1,0,1,0,379,0
2025-01-02,"Been looking to relax? Join IT&T on their day trip to Oita Prefecture where you will enjoy the Hyotan Hot Springs in Beppu and the Takasakiyama Monkey Park. 
For those with tattoos who have been wanting to enjoy an onsen, this trip is for you. This Michelin 3-star rewarded onsen is tattoo-friendly.

Registration is open. 
https://iwakuni.usmc-mccs.org/beppu-takasakiyama-day-trip
#ittiwakuni",1,1,0,0,223,0
2025-01-02,⚙ Stop by your nearest MCCS Education Center to get geared up for college in 2025! ⚙,2,1,0,1,187,0
2025-01-02,Start the New Year right with your very own self-care kit! Libraries will keep them out until supplies are gone! :D,3,2,0,1,383,0
2025-01-02,"The Marine and Family Programs Division is conducting a survey on Marines’ awareness of current lethal means safety programs, preferences for safety devices and locations, and considerations for LMS messaging specific to Marine Corps culture.

If you are interested and available to participate, follow the link to take the survey. https://cnaorg.gov1.qualtrics.com/.../SV_38L0FHrDBaBpuES

The survey will close on January 31, 2025. Participation should take no more than 15 minutes. No names, contact information, or any other personally identifiable information will be collected in the survey. Thank you for your time and consideration.",1,1,0,0,204,0
2025-01-02,"🚨 50% SOLD OUT! 🚨 
Our 17.75K on March 22, 2025 is filling up fast! Don’t miss your chance to run with us—secure your spot today before it’s too late! 🏃‍♂️💨
Sign Up today on marinemarathon.com
#runwiththemarines #marinecorps1775k",106,85,13,8,14661,0
2025-01-02,"🚨 50% SOLD OUT! 🚨 
Our 17.75K on March 22, 2025 is filling up fast! Don’t miss your chance to run with us—secure your spot today before it’s too late! 🏃‍♂️💨
Sign Up today on marinemarathon.com
#runwiththemarines #marinecorps1775k",515,474,12,29,12491,0
2025-01-02,"MCCS Twentynine Palms, CA is looking for candidates to fill multiple open positions. Come join the team!

-          HUMAN RESOURCES TECHNICIAN NF3
o  Job ID: 71314 https://lnkd.in/e8UzsJuv      

-         HOUSEKEEPER SUPERVISOR S04 
o  Job ID: 71096 https://lnkd.in/eDh6kQXa      

-         LODGING FACILITY SHIFT SUPERVISOR NF3
o  Job ID: 71327 https://lnkd.in/eEAtbqpi      

-         DEPLOYMENT READINESS COORD (3/4) NF4
o  Job ID: 71333 https://lnkd.in/eEtsysbq      

-         BREAKFAST ATENDANT (SEASONAL) A02
o  Job ID: 71291 https://lnkd.in/eH7J7p57      


To learn more about these positions plus others and MCCS please visit https://lnkd.in/ehr5X92
  
 #MCCS #itmatterswhereyouwork #nowhiring #marineandfamily #marineandfamilyprograms #MarineCorpsCommunityServices",2,1,0,1,590,0
2025-01-02,"As you walk the island, be on the lookout for #kindnessrocks and shells that our patrons have painted and left behind to find. Keep or Rehide the rocks and shells you find, but please take pictures and send them to us when you Find or Hide the rocks. We love showing off our talented patron's art skills.
This sweet pink dragonfly was found on December 19th and maintained hidden.... Did anyone find it?
 #obrocks  
#kindnessrocksproject",43,39,3,1,1928,0
2025-01-02,"MCCS Camp Pendleton, CA is looking for candidates to fill multiple open positions. Come join the team!

-          CLUB MANAGER NF4
o  Job ID: 71334 https://lnkd.in/eTwmH4SF

-          FAMILY ADVOCACY CLINICIAL COUNSELOR TEIR I
o  Job ID: 71315 https://lnkd.in/eraA3pzb

-         FAMILY ADVOCACY CLINICIAL COUNSELOR TEIR II & III (5% SIGN-ON BONUS)
o  Job ID: 71316 https://lnkd.in/eyFpeQjC

-         STRENGTH AND CONDITIONING COACH/FITNESS SPECIALIST
o  Job ID: 71317 https://lnkd.in/evtf__94

-         RECREATION SPECIALIST SUPERVISOR NF4
o  Job ID: 71318 https://lnkd.in/e8w5ZNxM

-         FITNESS CENTER MANAGER
o  Job ID: 71338 https://lnkd.in/eNnx4wG6


To learn more about these positions plus others and MCCS please visit https://lnkd.in/ehr5X92
 
#MCCS #itmatterswhereyouwork #nowhiring #marineandfamily #marineandfamilyprograms #MarineCorpsCommunityServices",14,12,0,2,1411,0
2025-01-02,"MCAS Miramar, CA is looking for candidates to fill multiple open positions. Come join the team!

-         FAMILY ADVOCACY PROGRAM ASSOCIATE CLINICAL COUNSELOR (TIER 1), NF4
o  Job ID: 71340 https://lnkd.in/egaAm_C7      

-         FAP CLINICAL COUNSELOR (TIERS II AND III), NF4       
o  Job ID: 71342 https://lnkd.in/earUbm2s      

To learn more about these positions plus others and MCCS please visit https://lnkd.in/ehr5X92
  
 #MCCS #itmatterswhereyouwork #nowhiring #marineandfamily #marineandfamilyprograms #MarineCorpsCommunityServices #counselor",8,6,0,2,443,0
2025-01-02,"Happy New Year from your Aquatics team, and a big shoutout to the brave souls who joined us for a plunge in the Pacific yesterday! We can’t think of a better way to start the year. 😉❄️",4,4,0,0,307,0
2025-01-02,Make 2025 the year of delicious creations! ✨ Start with upgrading your kitchen with Kitchen Aid countertop appliances available at your MCX. Shop today and let your inner chef shine! 👩🏻‍🍳👨🏻‍🍳,3,3,0,0,1231,0
2025-01-02,"Looking for a great way to spend your perfect day on the water? You can take a sightseeing cruise out of the harbors aboard a comfortable sailboat. This relaxing adventure is perfect for families, friends, and anyone seeking a unique perspective on the water! *Certification required*",4,4,0,0,189,0
2025-01-02,"Due to staffing issues, Brass & Rockers will be closed until further notice.

If you would like to apply for our bartender positions, please go to https://tinyurl.com/782pf9zw",3,0,0,3,1442,0
2025-01-02,"Due to staffing issues, Excursions will be closed until further notice.

If you would like to apply for our bartender positions, please go to https://tinyurl.com/782pf9zw",0,0,0,0,656,0
2025-01-02,"Auto Skills Center is bringing Pre-Trip Inspections back! 🚘 🔧 Bumper to bumper safety check of vehicle takes about 20-30 minutes, depending on the type of vehicle. SUVs and 4wds take longer. Patron must remain with vehicle. Inspection results will be provided upon completion.

For more information, call 703.784.2279",6,5,0,1,1178,0
2025-01-02,"MCCS 29 Palms is currently hiring a full time Project Manager. Get full details and apply at: https://tinyurl.com/mccs29palmsjob 

Make sure to select ""MAGTFTC 29 Palms"" as the location in the left column. 

Job title: 71280 Project Manager NF4
Salary: $35.00-$40.00 Per Hour",4,2,0,2,1608,0
2025-01-02,"Come join us at Sunset Cinema today Thursday, 02 January to watch the KRAVEN THE HUNTER at 5:10pm and the Last Showing of RED ONE at 2:40pm with our freshly pop buttered popcorn 🍿.

Also playing for FREE: THE LION KING (1984), THE WILD ROBOT and ANYONE BUT YOU.

For our movie schedule, check out our website: https://www.navymwr.org/programs/motion-pictures/theaters?id=ca14ee35-a359-4819-a279-3f5c9e82f98a",3,3,0,0,883,0
2025-01-02,This message has no text.,0,0,0,0,295,0
2025-01-02,This message has no text.,0,0,0,0,295,0
2025-01-02,"Following your New Year's Resolution to meal prep just got easier, thanks to Everyware food storage from GoodCook! 👩‍🍳 Get them at your MCX today! 🛒",2,2,0,0,632,0
2025-01-02,"Let's hear it for everyone who came out and started their new year with us! 🐻‍❄️ We had some brave bears and cubs come out to swim with us yesterday, and we hope to see you at many more Aquatics events and lessons this year.

Is this your first polar bear plunge, or are you a seasoned veteran? Let us know! 👇 More Polar Plunge photos can be found at the link below.

#newyear #coldplunge #polarplunge",4,3,1,0,105,0
2025-01-02,This message has no text.,0,0,0,0,12,0
2025-01-02,This message has no text.,0,0,0,0,12,0
2025-01-02,This message has no text.,0,0,0,0,12,0
